#t:   	x:        	y:        	z:        
7.650	-0.00326538	-0.01116943	0.00122070
7.675	-0.00277710	-0.00909424	0.00122070
7.700	-0.00228882	-0.00613403	0.00054932
7.725	-0.00201416	-0.00479126	0.00088501
7.750	-0.00167847	-0.00463867	0.00027466
7.775	-0.00170898	-0.00689697	0.00027466
7.800	-0.00183105	-0.00430298	0.00097656
7.825	-0.00045776	-0.01147461	0.00112915
7.850	-0.00302124	-0.01373291	0.00109863
7.875	-0.00393677	-0.01184082	0.00143433
7.900	-0.00354004	-0.01068115	0.00155640
7.925	-0.00201416	-0.00784302	0.00119019
7.950	-0.00219727	-0.00503540	0.00036621
7.975	-0.00177002	-0.00439453	0.00106812
8.000	-0.00177002	-0.00515747	0.00003052
8.025	-0.00186157	-0.00802612	0.00057983
8.050	-0.00210571	-0.00326538	0.00204468
8.075	-0.00192261	-0.01232910	0.00082397
8.100	-0.00360107	-0.01229858	0.00177002
8.125	-0.00381470	-0.01211548	0.00134277
8.150	-0.00299072	-0.00939941	0.00115967
8.175	-0.00238037	-0.00735474	0.00073242
8.200	-0.00207520	-0.00506592	0.00094604
8.225	-0.00128174	-0.00451660	0.00006104
8.250	-0.00152588	-0.00588989	0.00030518
8.275	-0.00177002	-0.00860596	0.00039673
8.300	-0.00201416	-0.00701904	0.00088501
8.325	-0.00189209	-0.01275635	0.00091553
8.350	-0.00323486	-0.01208496	0.00210571
8.375	-0.00350952	-0.01171875	0.00115967
8.400	-0.00283813	-0.00961304	0.00161743
8.425	-0.00244141	-0.00610352	0.00070190
8.450	-0.00198364	-0.00396729	0.00103760
8.475	-0.00143433	-0.00454712	0.00000000
8.500	-0.00149536	-0.00650024	0.00024414
8.525	-0.00170898	-0.00970459	0.00036621
8.550	-0.00219727	-0.01123047	0.00009155
8.575	-0.00216675	-0.01229858	0.00137329
8.600	-0.00259399	-0.01382446	0.00045776
8.625	-0.00424194	-0.00967407	0.00183105
8.650	-0.00256348	-0.00982666	0.00149536
8.675	-0.00277710	-0.00616455	0.00027466
8.700	-0.00195312	-0.00457764	0.00085449
8.725	-0.00125122	-0.00524902	-0.00003052
8.750	-0.00146484	-0.00796509	0.00048828
8.775	-0.00198364	-0.00958252	0.00036621
8.800	-0.00250244	-0.00308228	0.00219727
8.825	-0.00225830	-0.01275635	0.00070190
8.850	-0.00338745	-0.01086426	0.00134277
8.875	-0.00363159	-0.01040649	0.00125122
8.900	-0.00277710	-0.00820923	0.00061035
8.925	-0.00210571	-0.00527954	0.00088501
8.950	-0.00146484	-0.00445557	0.00033569
8.975	-0.00158691	-0.00619507	0.00024414
9.000	-0.00167847	-0.00900269	0.00033569
9.025	-0.00228882	-0.01022339	0.00006104
9.050	-0.00277710	0.00564575	0.00372314
9.075	-0.00183105	-0.01373291	0.00085449
9.100	-0.00332642	-0.01126099	0.00103760
9.125	-0.00369263	-0.01071167	0.00170898
9.150	-0.00292969	-0.00863647	0.00122070
9.175	-0.00207520	-0.00573730	0.00064087
9.200	-0.00167847	-0.00451660	0.00054932
9.225	-0.00137329	-0.00567627	0.00009155
9.250	-0.00155640	-0.00842285	0.00042725
9.275	-0.00210571	-0.00994873	0.00048828
9.300	-0.00088501	-0.00973511	0.00054932
9.325	-0.00192261	-0.01321411	0.00128174
9.350	-0.00408936	-0.01147461	0.00158691
9.375	-0.00344849	-0.00985718	0.00094604
9.400	-0.00207520	-0.00765991	0.00146484
9.425	-0.00180054	-0.00537109	0.00045776
9.450	-0.00180054	-0.00427246	0.00064087
9.475	-0.00146484	-0.00576782	0.00024414
9.500	-0.00180054	-0.00866699	0.00042725
9.525	-0.00228882	0.00143433	0.00259399
9.550	-0.00146484	-0.01196289	0.00070190
9.575	-0.00338745	-0.01385498	0.00161743
9.600	-0.00430298	-0.01141357	0.00158691
9.625	-0.00296021	-0.00942993	0.00164795
9.650	-0.00210571	-0.00723267	0.00079346
9.675	-0.00198364	-0.00546265	0.00067139
9.700	-0.00155640	-0.00463867	0.00082397
9.725	-0.00158691	-0.00601196	0.00021362
9.750	-0.00180054	-0.00775146	0.00076294
9.775	-0.00033569	-0.01007080	0.00097656
9.800	-0.00277710	-0.01263428	0.00177002
9.825	-0.00372314	-0.01177979	0.00201416
9.850	-0.00372314	-0.01156616	0.00100708
9.875	-0.00277710	-0.00891113	0.00125122
9.900	-0.00189209	-0.00640869	0.00125122
9.925	-0.00161743	-0.00427246	0.00051880
9.950	-0.00164795	-0.00448608	0.00027466
9.975	-0.00161743	-0.00674438	0.00048828
10.000	-0.00186157	-0.00955200	0.00030518
